,A,w,df,f1,f2,f3,f4,f5,Aq1,Aq2,Aq3,Aq4,Aq5
61,0.15,8.86672251599107,1.1138642178632645,1.40999718,1.13999772,,,,0.152572716472861,0.03451761607760014,,,
62,0.15,10.500066137357845,1.1138642178632645,1.66999666,1.1499977000000001,,,,0.06557865388144282,0.025541471532609227,,,
63,0.15,0.7000044091571898,2.127728435726529,1.10999778,0.10999978,0.7799984400000001,0.21999956,0.55999888,0.14351484422609123,0.05843495938428428,0.048513447935993624,0.04802173328777728,0.04316779823628704
64,0.15,2.3333480305239656,2.127728435726529,0.73999852,0.36999926,1.10999778,1.4899970200000001,,0.12528546650908493,0.11654571993015443,0.09153274686637358,0.02646415026053071,
65,0.15,3.966691651890741,2.127728435726529,1.25999748,0.62999874,,,,0.24402744359771578,0.2028940289099779,,,
66,0.15,5.600035273257517,2.127728435726529,0.8899982200000001,,,,,0.3727547427041752,,,,
67,0.15,7.233378894624293,2.127728435726529,1.1499977000000001,0.999998,,,,0.8576197291578366,0.09124795497156142,,,
68,0.15,8.86672251599107,2.127728435726529,1.40999718,1.12999774,,,,0.2476029553918924,0.038719096341090484,,,
69,0.15,10.500066137357845,2.127728435726529,1.66999666,1.13999772,,,,0.10804899911788364,0.02631783055406148,,,
70,0.15,0.7000044091571898,3.1415926535897936,0.10999978,0.999998,0.7799984400000001,0.55999888,0.32999934000000003,0.06573055586535054,0.05694567624291024,0.053051081171758684,0.05053046200392601,0.04747610864151356
71,0.15,2.3333480305239656,3.1415926535897936,1.10999778,0.36999926,,,,0.617696974252828,0.16414836168393054,,,
72,0.15,3.966691651890741,3.1415926535897936,0.62999874,,,,,0.21740588457746235,,,,
73,0.15,5.600035273257517,3.1415926535897936,0.8899982200000001,,,,,0.42123072259601413,,,,
74,0.15,7.233378894624293,3.1415926535897936,1.1499977000000001,0.97999804,,,,0.9005827477130136,0.09122983119634022,,,
75,0.15,8.86672251599107,3.1415926535897936,1.40999718,1.11999776,,,,0.2811600728667371,0.037756324443296706,,,
76,0.15,10.500066137357845,3.1415926535897936,1.66999666,1.13999772,,,,0.12341659652042467,0.023875115764327628,,,
77,0.15,0.7000044091571898,4.155456871453057,1.10999778,0.10999978,0.21999956,0.7799984400000001,0.8899982200000001,0.1406310738781505,0.05715426914568153,0.05056412130434019,0.04862600702371803,0.04217044523924737
78,0.15,2.3333480305239656,4.155456871453057,0.73999852,0.36999926,1.11999776,1.4899970200000001,,0.12667602159614794,0.11561514062186973,0.0737936788815324,0.026962511604918863,
79,0.15,3.966691651890741,4.155456871453057,1.25999748,0.62999874,1.11999776,,,0.24340504770766985,0.20357123850369374,0.03493742108883751,,
80,0.15,5.600035273257517,4.155456871453057,0.8899982200000001,,,,,0.37317700725937125,,,,
81,0.15,7.233378894624293,4.155456871453057,1.1499977000000001,,,,,0.8611199034260932,,,,
82,0.15,8.86672251599107,4.155456871453057,1.40999718,1.12999774,,,,0.247946359821369,0.0298903756989396,,,
83,0.15,10.500066137357845,4.155456871453057,1.66999666,1.13999772,,,,0.10807390983240087,0.01798825801574144,,,
84,0.15,0.7000044091571898,5.1693210893163215,1.10999778,0.999998,0.21999956,0.8899982200000001,0.32999934000000003,0.09189355252575898,0.05256166592970715,0.05211878254999972,0.049825943864316144,0.04727039779462636
85,0.15,2.3333480305239656,5.1693210893163215,1.10999778,0.73999852,0.36999926,,,0.6055952881024971,0.18649784641181438,0.08236024560880931,,
86,0.15,3.966691651890741,5.1693210893163215,1.25999748,0.62999874,1.10999778,,,0.26213486481469606,0.13042359632775694,0.030477029686694596,,
87,0.15,5.600035273257517,5.1693210893163215,0.8899982200000001,1.7799964400000001,1.12999774,,,0.23046933082217572,0.032681538923504984,0.023869516068441534,,
88,0.15,7.233378894624293,5.1693210893163215,1.1499977000000001,,,,,0.7194265372792443,,,,
89,0.15,8.86672251599107,5.1693210893163215,1.40999718,1.13999772,,,,0.1527344186426981,0.01793252612005219,,,
